@typescript-eslint/typescript-estree@2.23.0	7	2
@vue/babel-helper-vue-jsx-merge-props@1.0.0	0	3
@vue/babel-plugin-transform-vue-jsx@1.1.2	6	3
@vue/babel-preset-app@4.2.3	14	1
@vue/babel-preset-jsx@1.1.2	6	1
@vue/babel-sugar-functional-vue@1.1.2	1	1
@vue/babel-sugar-inject-h@1.1.2	1	1
@vue/babel-sugar-v-model@1.1.2	6	1
@vue/babel-sugar-v-on@1.1.2	3	1
@vue/cli-overlay@4.2.3	0	1
@vue/cli-plugin-babel@4.2.3	7	0
@vue/cli-plugin-eslint@4.2.3	6	0
@vue/cli-plugin-pwa@4.2.3	3	0
@vue/cli-plugin-router@4.2.3	1	1
@vue/cli-plugin-typescript@4.2.3	10	0
@vue/cli-plugin-unit-mocha@4.2.3	5	0
@vue/cli-plugin-vuex@4.2.3	0	1
@vue/cli-service@4.2.3	52	0
@vue/cli-shared-utils@4.2.3	13	7
@vue/component-compiler-utils@3.1.1	9	2
@vue/eslint-config-airbnb@5.0.2	4	0
@vue/eslint-config-typescript@5.0.2	1	0
@vue/preload-webpack-plugin@1.1.1	0	1
@vue/test-utils@1.0.0-beta.31	3	0
@vue/web-component-wrapper@1.2.0	0	1
@webassemblyjs/ast@1.8.5	3	9
@webassemblyjs/floating-point-hex-parser@1.8.5	0	1
@webassemblyjs/helper-api-error@1.8.5	0	2
@webassemblyjs/helper-buffer@1.8.5	0	3
@webassemblyjs/helper-code-frame@1.8.5	1	1
@webassemblyjs/helper-fsm@1.8.5	0	1
@webassemblyjs/helper-module-context@1.8.5	2	2
@webassemblyjs/helper-wasm-bytecode@1.8.5	0	5
@webassemblyjs/helper-wasm-section@1.8.5	4	1
@webassemblyjs/ieee754@1.8.5	1	2
@webassemblyjs/leb128@1.8.5	1	2
@webassemblyjs/utf8@1.8.5	0	2
@webassemblyjs/wasm-edit@1.8.5	8	1
@webassemblyjs/wasm-gen@1.8.5	5	3
@webassemblyjs/wasm-opt@1.8.5	4	1
@webassemblyjs/wasm-parser@1.8.5	6	3
@webassemblyjs/wast-parser@1.8.5	6	2
@webassemblyjs/wast-printer@1.8.5	3	2
@xtuc/ieee754@1.2.0	0	1
@xtuc/long@4.2.2	0	3
abab@2.0.3	0	2
abbrev@1.1.1	0	1
accepts@1.3.7	2	3
acorn-globals@4.3.4	2	1
acorn-jsx@5.2.0	0	1
acorn-walk@6.2.0	0	1
acorn-walk@7.1.1	0	2
acorn@6.4.1	0	2
acorn@7.1.1	0	4
address@1.1.2	0	1
aggregate-error@3.0.1	2	1
ajv-errors@1.0.1	0	1
ajv-keywords@3.4.1	0	3
ajv@6.12.0	4	6
alphanum-sort@1.0.2	0	3
ansi-colors@3.2.3	0	1
ansi-colors@3.2.4	0	1
ansi-escapes@3.2.0	0	2
ansi-escapes@4.3.1	1	1
ansi-html@0.0.7	0	1
ansi-regex@2.1.1	0	2
ansi-regex@3.0.0	0	1
ansi-regex@4.1.0	0	1
ansi-regex@5.0.0	0	1
ansi-styles@2.2.1	0	1
ansi-styles@3.2.1	1	3
ansi-styles@4.2.1	2	2
any-observable@0.3.0	0	1
any-promise@1.3.0	0	2
anymatch@2.0.0	2	1
aproba@1.2.0	0	3
arch@2.1.1	0	1
argparse@1.0.10	1	1
arr-diff@4.0.0	0	2
arr-flatten@1.1.0	0	1
arr-union@3.1.0	0	2
array-equal@1.0.0	0	1
array-find@1.0.0	0	1
array-flatten@1.1.1	0	1
array-flatten@2.1.2	0	1
array-includes@3.1.1	3	1
array-union@1.0.2	1	3
array-union@2.1.0	0	1
array-uniq@1.0.3	0	1
array-unique@0.3.2	0	4
array.prototype.flat@1.2.3	2	1
asn1.js@4.10.1	3	1
asn1@0.2.4	1	1
assert-plus@1.0.0	0	6
assert@1.5.0	2	1
assertion-error@1.1.0	0	1
assign-symbols@1.0.0	0	1
astral-regex@1.0.0	0	1
async-each@1.0.3	0	1
async-limiter@1.0.1	0	1
async@2.6.3	1	1
asynckit@0.4.0	0	1
atob@2.1.2	0	1
autoprefixer@9.7.4	7	1
aws-sign2@0.7.0	0	1
aws4@1.9.1	0	1
babel-code-frame@6.26.0	3	1
babel-extract-comments@1.0.0	1	1
babel-loader@8.0.6	4	1
babel-plugin-dynamic-import-node@2.3.0	1	4
babel-plugin-syntax-object-rest-spread@6.13.0	0	1
babel-plugin-transform-object-rest-spread@6.26.0	2	1
babel-runtime@6.26.0	2	2
babylon@6.18.0	0	1
balanced-match@1.0.0	0	1
base64-js@1.3.1	0	1
base@0.11.2	7	1
batch@0.6.1	0	1
bcrypt-pbkdf@1.0.2	1	1
bfj@6.1.2	4	1
big.js@3.2.0	0	1
big.js@5.2.2	0	1
binary-extensions@1.13.1	0	1
bindings@1.5.0	1	1
bluebird@3.7.2	0	3
bn.js@4.11.8	0	8
body-parser@1.19.0	10	1
bonjour@3.5.0	6	1
boolbase@1.0.0	0	3
brace-expansion@1.1.11	2	1
