@babel/plugin-transform-block-scoped-functions@7.7.4,1,2
@babel/plugin-transform-block-scoped-functions@7.8.3,1,1
@babel/plugin-transform-block-scoping@7.7.4,2,4
@babel/plugin-transform-block-scoping@7.8.3,2,1
@babel/plugin-transform-classes@7.7.4,8,4
@babel/plugin-transform-classes@7.8.3,8,1
@babel/plugin-transform-computed-properties@7.7.4,1,4
@babel/plugin-transform-computed-properties@7.8.3,1,1
@babel/plugin-transform-destructuring@7.7.4,1,4
@babel/plugin-transform-destructuring@7.8.3,1,1
@babel/plugin-transform-dotall-regex@7.7.7,2,1
@babel/plugin-transform-dotall-regex@7.8.3,2,1
@babel/plugin-transform-duplicate-keys@7.7.4,1,1
@babel/plugin-transform-duplicate-keys@7.8.3,1,1
@babel/plugin-transform-exponentiation-operator@7.7.4,2,3
@babel/plugin-transform-exponentiation-operator@7.8.3,2,1
@babel/plugin-transform-flow-strip-types@7.7.4,2,4
@babel/plugin-transform-flow-strip-types@7.8.3,2,1
@babel/plugin-transform-for-of@7.7.4,1,4
@babel/plugin-transform-for-of@7.8.4,1,1
@babel/plugin-transform-function-name@7.7.4,2,4
@babel/plugin-transform-function-name@7.8.3,2,1
@babel/plugin-transform-literals@7.7.4,1,4
@babel/plugin-transform-literals@7.8.3,1,1
@babel/plugin-transform-member-expression-literals@7.7.4,1,2
@babel/plugin-transform-member-expression-literals@7.8.3,1,1
@babel/plugin-transform-modules-amd@7.7.5,3,1
@babel/plugin-transform-modules-amd@7.8.3,3,1
@babel/plugin-transform-modules-commonjs@7.7.5,4,6
@babel/plugin-transform-modules-commonjs@7.8.3,4,1
@babel/plugin-transform-modules-systemjs@7.7.4,3,1
@babel/plugin-transform-modules-systemjs@7.8.3,4,1
@babel/plugin-transform-modules-umd@7.7.4,2,1
@babel/plugin-transform-modules-umd@7.8.3,2,1
@babel/plugin-transform-named-capturing-groups-regex@7.7.4,1,1
@babel/plugin-transform-named-capturing-groups-regex@7.8.3,1,1
@babel/plugin-transform-new-target@7.7.4,1,1
@babel/plugin-transform-new-target@7.8.3,1,1
@babel/plugin-transform-object-assign@7.7.4,1,2
@babel/plugin-transform-object-super@7.7.4,2,2
@babel/plugin-transform-object-super@7.8.3,2,1
@babel/plugin-transform-parameters@7.7.7,3,4
@babel/plugin-transform-parameters@7.8.4,3,1
@babel/plugin-transform-property-literals@7.7.4,1,2
@babel/plugin-transform-property-literals@7.8.3,1,1
@babel/plugin-transform-react-display-name@7.7.4,1,3
@babel/plugin-transform-react-display-name@7.8.3,1,1
@babel/plugin-transform-react-jsx-self@7.8.3,2,1
@babel/plugin-transform-react-jsx-source@7.7.4,2,2
@babel/plugin-transform-react-jsx-source@7.8.3,2,1
@babel/plugin-transform-react-jsx@7.7.7,3,3
@babel/plugin-transform-react-jsx@7.8.3,3,1
@babel/plugin-transform-regenerator@7.7.5,1,3
@babel/plugin-transform-regenerator@7.8.3,1,1
@babel/plugin-transform-reserved-words@7.7.4,1,1
@babel/plugin-transform-reserved-words@7.8.3,1,1
@babel/plugin-transform-runtime@7.7.6,4,2
@babel/plugin-transform-shorthand-properties@7.7.4,1,4
@babel/plugin-transform-shorthand-properties@7.8.3,1,1
@babel/plugin-transform-spread@7.7.4,1,4
@babel/plugin-transform-spread@7.8.3,1,1
@babel/plugin-transform-sticky-regex@7.7.4,2,3
@babel/plugin-transform-sticky-regex@7.8.3,2,1
@babel/plugin-transform-template-literals@7.7.4,2,4
@babel/plugin-transform-template-literals@7.8.3,2,1
@babel/plugin-transform-typeof-symbol@7.7.4,1,1
@babel/plugin-transform-typeof-symbol@7.8.4,1,1
@babel/plugin-transform-typescript@7.7.4,3,2
@babel/plugin-transform-typescript@7.8.3,3,1
@babel/plugin-transform-unicode-regex@7.7.4,2,3
@babel/plugin-transform-unicode-regex@7.8.3,2,1
@babel/preset-env@7.7.7,51,2
@babel/preset-env@7.8.4,57,1
@babel/preset-flow@7.8.3,2,1
@babel/preset-react@7.8.3,5,1
@babel/preset-typescript@7.8.3,2,1
@babel/register@7.7.7,5,1
@babel/runtime@7.7.7,1,33
@babel/runtime@7.8.4,1,0
@babel/template@7.7.4,3,11
@babel/template@7.8.3,3,7
@babel/traverse@7.7.4,9,12
@babel/traverse@7.8.4,9,7
@babel/types@7.7.4,3,32
@babel/types@7.8.3,3,24
@bcoe/v8-coverage@0.2.3,0,1
@callstack/react-theme-provider@3.0.5,2,1
@cnakazawa/watch@1.0.3,2,1
@commitlint/cli@8.3.5,11,1
@commitlint/config-conventional@8.3.4,1,0
@commitlint/ensure@8.3.4,1,1
@commitlint/execute-rule@8.3.4,0,1
@commitlint/format@8.3.4,1,1
@commitlint/is-ignored@8.3.5,1,1
@commitlint/lint@8.3.5,5,1
@commitlint/load@8.3.5,7,1
@commitlint/message@8.3.4,0,1
@commitlint/parse@8.3.4,3,1
@commitlint/read@8.3.4,4,1
@commitlint/resolve-extends@8.3.5,4,1
@commitlint/rules@8.3.4,4,1
@commitlint/to-lines@8.3.4,0,1
@commitlint/top-level@8.3.4,1,1
@egjs/hammerjs@2.0.17,1,1
@evocateur/libnpmaccess@3.1.2,5,1
@evocateur/libnpmpublish@1.2.2,9,1
@evocateur/npm-registry-fetch@4.0.0,7,5
@evocateur/pacote@9.6.5,29,3
@expo/build-tools@0.1.3,13,1
@expo/bunyan@3.0.2,2,2
@expo/config@2.5.7,7,5
@expo/dev-tools@0.9.9,9,1
@expo/image-utils@0.2.12,2,1
@expo/json-file@8.2.5,6,3
@expo/ngrok-bin-darwin-ia32@2.2.8,0,0
@expo/ngrok-bin-darwin-x64@2.2.8,0,0
@expo/ngrok-bin-freebsd-ia32@2.2.8,0,0
@expo/ngrok-bin-freebsd-x64@2.2.8,0,0
@expo/ngrok-bin-linux-arm64@2.2.8,0,0
@expo/ngrok-bin-linux-arm@2.2.8,0,0
@expo/ngrok-bin-linux-ia32@2.2.8,0,0
@expo/ngrok-bin-linux-x64@2.2.8,0,0
@expo/ngrok-bin-sunos-x64@2.2.8,0,0
@expo/ngrok-bin-win32-ia32@2.2.8-beta.1,0,0
